,user,text,favorite_count,retweet_count,create_at
91,WilliamsRuto,This is an important development for Kenya's MSME agenda as we gear up for the Kenya International Investment Conference in March 2023.,314,43,2022-12-22 14:30:59+00:00
92,WilliamsRuto,"Congratulations to the Kenya National Chamber of Commerce and Industry and in particular, president Richard Ngatia, on his appointment to the World Chambers Federation General Council. https://t.co/sq4kj8lN0w",956,118,2022-12-22 14:30:58+00:00
93,WilliamsRuto,"Annual Kimalel Goat Auction and Cultural Fair, Baringo Central, Baringo County. https://t.co/MOst79gCzk",781,122,2022-12-22 12:02:37+00:00
94,WilliamsRuto,"During a Christmas party for children at State House, Nairobi. https://t.co/aoMBvPCgfR",753,67,2022-12-21 19:48:01+00:00
95,WilliamsRuto,I wish you and your families a Merry Christmas and a Prosperous New Year. https://t.co/SYXO5Ig4Jj,834,77,2022-12-21 19:48:00+00:00
96,WilliamsRuto,"To all the children of Kenya, you are the reason we as parents work hard and do all we can for you to have the opportunity to become the best that you can be. https://t.co/ZAcpN4p2Mo",2475,236,2022-12-21 19:47:59+00:00
97,WilliamsRuto,State House: Children's Xmas party. https://t.co/R18Yh1ILch,817,129,2022-12-21 14:31:30+00:00
98,WilliamsRuto,"In the company of @FirstLadyKenya Rachel Ruto, Deputy President @rigathi, diplomats among other leaders, launched the National Programme for Accelerated Forestry and Rangelands Restoration in Ngong’ Hills Forest, Kajiado County. https://t.co/yzil6iiqfb",603,77,2022-12-21 14:23:21+00:00
99,WilliamsRuto,"This is the time for intentional placement of environmental conservation at the centre of our socio-economic transformation agenda. Through our unity of purpose and collective action, we will have a cleaner and safer environment for everyone. https://t.co/d7kehVPbZe",2383,307,2022-12-21 14:23:20+00:00
100,WilliamsRuto,"During the official opening of the National Police Leadership Academy in Ngong’, Kajiado County, in the company of Deputy President @rigathi Gachagua. https://t.co/LlEQJOPJhQ",431,52,2022-12-21 12:25:07+00:00
101,WilliamsRuto,"The police must be independent, professional and serve all Kenyans fairly. We will improve their working conditions so that they can execute their mandate smoothly. https://t.co/VfSPxkTp4I",2049,196,2022-12-21 12:25:06+00:00
102,WilliamsRuto,"Launch of National Tree Planting Campaign, Ngong Hills, Kajiado. https://t.co/mYv8kwRxdg",588,101,2022-12-21 10:49:49+00:00
103,WilliamsRuto,"Official opening of the National Police Leadership Academy, Ngong, Kajiado County. https://t.co/TE0rH8jpah",650,107,2022-12-21 08:45:05+00:00
104,WilliamsRuto,"Held talks with the Chinese Ambassador to Kenya, Dr. Zhou Pingjian at State House, Nairobi. https://t.co/XLkKbxCMxD",587,68,2022-12-20 09:05:07+00:00
105,WilliamsRuto,"This relationship has provided access to the Chinese market for our agricultural exports like flowers, frozen avocados, hides and skins, while China has played a crucial role in the development of infrastructure in Kenya. https://t.co/GyFyaHH7Z0",638,75,2022-12-20 09:04:52+00:00
106,WilliamsRuto,"Kenya is committed to strengthening its mutually beneficial bilateral relations with China, expanding trade and exploring various areas of partnership between our two nations. https://t.co/LVN2aQc0m1",2535,247,2022-12-20 09:04:35+00:00
107,WilliamsRuto,Hustler fund wamenikataza siwezi lipa bet nayo wanasema pesa ni ya husle. Isorait. Kwangu hakukaliki. Lady #1 na watoi ni pressure. Wale kuku zangu wataniokoa nilipe. Lakini naulizaje? Bet huishanga na 90min ama xtra time huesabiwa? Even penalty shootouts? Kuuliza tu?,12642,1777,2022-12-19 06:36:22+00:00
108,WilliamsRuto,Congratulations Argentina for winning the world Cup. My African team at world Cup played a superb game. Will pay my bet!!! All round wonderful game. Tukutane home. https://t.co/Cx9BZDZRnJ,53634,8812,2022-12-18 18:31:21+00:00
109,WilliamsRuto,Supporting the African team in the world Cup finals. Good luck Rachel &amp; kids as you support the other side. Remember to pay the bet!! Either way expecting fine football.,15802,1640,2022-12-18 15:02:16+00:00
